"Customer code","Customer ship to","Order","CPO DATE","Customer Requested Date","fixed Y","Qty","","Customer Part no","Currency","Ship Method","CPO DATE ","","","fixed 1","" 
"3","IMCT-SR_SP_SHIP","1F9A323600","26092015","28092015","Y","Order Type","","898193-6310","THB","Road","26092015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9A535500","26092015","28092015","Y","Order Type","","898052-9370","THB","Road","26092015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9A535700","26092015","28092015","Y","Order Type","","898052-9410","THB","Road","26092015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2F9A248900","26092015","28092015","Y","Order Type","","898064-7040","THB","Road","26092015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2F9A310600","26092015","28092015","Y","Order Type","","898231-5561","THB","Road","26092015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1F9A535600","03102015","05102015","Y","Order Type","","898052-9400","THB","Road","03102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9B169000","03102015","05102015","Y","Order Type","","898219-8443","THB","Road","03102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2F9A467800","03102015","05102015","Y","Order Type","","898231-5561","THB","Road","03102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1F9B082000","10102015","12102015","Y","Order Type","","898052-9400","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9B397500","10102015","12102015","Y","Order Type","","898052-9410","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1F9B432300","10102015","12102015","Y","Order Type","","898128-5700","THB","Road","10102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2FOA056300","17102015","19102015","Y","Order Type","","898166-3410","THB","Road","17102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2FOA039000","17102015","19102015","Y","Order Type","","898052-9400","THB","Road","17102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA234400","17102015","19102015","Y","Order Type","","898052-9370","THB","Road","17102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA234500","17102015","19102015","Y","Order Type","","898052-9400","THB","Road","17102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA234600","17102015","19102015","Y","Order Type","","898052-9420","THB","Road","17102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA295100","17102015","19102015","Y","Order Type","","898193-6310","THB","Road","17102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2FOA040500","17102015","19102015","Y","Order Type","","898064-7040","THB","Road","17102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1FOA333800","26102015","28102015","Y","Order Type","","898052-9370","THB","Road","26102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA493400","26102015","28102015","Y","Order Type","","898052-9400","THB","Road","26102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA526500","26102015","28102015","Y","Order Type","","898128-5700","THB","Road","26102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA574100","26102015","28102015","Y","Order Type","","898219-8443","THB","Road","26102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2FOA182600","26102015","28102015","Y","Order Type","","898052-9370","THB","Road","26102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2FOA186600","26102015","28102015","Y","Order Type","","898064-7040","THB","Road","26102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2FOA235900","26102015","28102015","Y","Order Type","","898193-6310","THB","Road","26102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","2FOA246600","26102015","28102015","Y","Order Type","","898231-5561","THB","Road","26102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1FOA493500","31102015","02112015","Y","Order Type","","898052-9410","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA493600","31102015","02112015","Y","Order Type","","898052-9420","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOA574200","31102015","02112015","Y","Order Type","","898219-8453","THB","Road","31102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1FOB002100","31102015","02112015","Y","Order Type","","898052-9370","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOB002200","31102015","02112015","Y","Order Type","","898052-9410","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOB007100","31102015","02112015","Y","Order Type","","898064-7040","THB","Road","31102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","1FOB035100","31102015","02112015","Y","Order Type","","898128-5700","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"3","IMCT-SR_SP_SHIP","1FOB081000","31102015","02112015","Y","Order Type","","898219-8443","THB","Road","31102015","","","1","FTTL_FG_DOMESTIC" 
"3","IMCT-SR_SP_SHIP","2FOA356900","31102015","02112015","Y","Order Type","","898243-6012","THB","Road","31102015","","","1","FTTL_FG_DOMESTIC" 
